GP,GS,#,Name,Class,Position,Height,Hometown,High School,team,teamID
9,0,23,Adrien LaMora,So.,F,5-11,"Philadelphia, NY",Indian River,Canisius,560668
31,30,14,Sisi Eleko,So.,F,6-2,"Montreal, Canada",New Hope Academy,Canisius,560668
2,0,34,Chloe Chard Peloquin,So.,F,6-3,"Johnstown, OH",Newark Catholic,Canisius,560668
4,0,13,Xanthippi Karatasiou,Jr.,G,5-9,"Katerini, Greece",High School of Kontariotissa,Canisius,560668
31,11,5,Athina Lexa,Jr.,G,5-9,"Thessaloniki, Greece",Hellenic College,Canisius,560668
24,1,10,Giana Hernandez-Boulden,Sr.,G,6-1,"Hamilton, NJ",Trenton Catholic Academy,Canisius,560668
31,31,11,Grace Heeps,Sr.,G,5-11,"East Greenbush, NY",Northfield Mount Hermon,Canisius,560668
19,1,20,Jane McCauley,Sr.,G,5-9,"New Rochelle, NY",The Ursuline School,Canisius,560668
31,31,2,Mackenzie Amalia,Sr.,G,5-5,"Beaver Falls, PA",Blackhawk,Canisius,560668
25,21,22,Bri Rozzi,Sr.,G,5-7,"Highland, NY",Highland,Canisius,560668
16,0,1,Mary Copple,Fr.,G,5-7,"Brighton, MI",Brighton,Canisius,560668
22,1,45,Tihanna Fulton,Sr.,F,6-0,"Mason, OH",Mason,Canisius,560668
0,0,0,Saige Randolph,Fr.,G,5-5,"Albany, NY",Albany Academy for Girls,Canisius,560668
29,17,12,Ally Sentance,So.,G,5-9,"Thorold, Canada",Lincoln Prep,Central Conn. St.,560670
7,0,15,Livvy Pizzitola,Jr.,G,5-5,"Southington, CT",Southington High School,Central Conn. St.,560670
30,0,21,Ciera Pearson,So.,G,5-8,"Teaneck, NJ",Saddle River Day School,Central Conn. St.,560670
12,9,10,Emma Bruen,Jr.,G,5-7,"Middletown, NJ",Saint John Vianney,Central Conn. St.,560670
30,25,5,Amaya Williams,Jr.,G,5-5,"Syracuse, NY",Nottingham,Central Conn. St.,560670
30,30,2,Belle Lanpher,Jr.,G,5-5,"Princeton, MA",Wachusett Regional,Central Conn. St.,560670
30,29,32,Meghan Kenefick,Sr.,F,6-0,"Oakton, VA",Saint Paul VI Catholic,Central Conn. St.,560670
27,10,22,Alonna Sellers,So.,F,6-1,"Hampton, VA",Hampton HS,Central Conn. St.,560670
28,2,11,Kayla Henry,Fr.,F,6-0,"East Hartford, CT",East Hartford,Central Conn. St.,560670
29,28,1,Samora Watson,So.,G,5-6,"League City, TX",Clear Falls,Central Conn. St.,560670
0,0,24,Kaya Weiskopf,Fr.,G,5-10,"Ridgefield, CT",St. Luke's School,Central Conn. St.,560670
27,0,22,Sierra Godbolt,So.,G,5-6,"Orlando, FL",Lake Highland Prep,UCF,560671
26,0,15,Taylor Gibson,Jr.,F,6-2,"Upper Marlboro, MD",Bishop McNamara,UCF,560671
0,0,23,Anzhane' Hutton,Sr.,F,6-0,"Dallas, TX",Cedar Hill HS,UCF,560671
29,29,0,Laila Jewett,Jr.,G,5-10,"Woodbridge, VA",Bishop Ireton HS,UCF,560671
4,0,25,Femi Funeus,Sr.,F,6-2,"Plantation, FL",American Heritage HS,UCF,560671
29,29,3,Kaitlin Peterson,Jr.,G,5-8,"Eufaula, AL",Eufaula,UCF,560671
27,13,30,Morgan Robinson-Nwagwu,Sr.,G,5-8,"Norcross, GA",Norcross HS,UCF,560671
28,15,35,Khyala Ngodu,Fr.,C,6-3,"Fort Lauderdale, FL",Dillard,UCF,560671
19,0,14,Asia Todd,Sr.,G,5-9,"Clayton, NC",Clayton HS,UCF,560671
7,0,42,Mary McMillan,Sr.,G,5-6,"Apopka, FL",Apopka,UCF,560671
28,13,24,Jayla Kelly,Sr.,C,6-3,"Chesterfield, MO",Parkway Central,UCF,560671
28,15,11,Achol Akot,Fr.,F,6-1,"Ottawa, Canada",Capital Courts Academy,UCF,560671
23,2,21,Timia Ware,Jr.,G,5-6,"Chicago, IL",Whitney Young Magnet,UCF,560671
29,29,10,Mya Burns,Sr.,G,6-0,"North Augusta, SC",North Augusta HS,UCF,560671
28,15,12,Karrington Gordon,Jr.,G,6-0,"Detroit, MI",Lincoln Park,Central Mich.,560673
28,23,1,Lisa Tesson,Jr.,G,5-7,"Montreal, Canada",Royal Crown,Central Mich.,560673
28,14,20,Tiana Timpe,Jr.,G,5-11,"Stockton, IL",Stockton,Central Mich.,560673
19,19,24,Taylor Anderson,So.,G,5-10,"South Lyon, MI",South Lyon East,Central Mich.,560673
21,4,33,Alina Anderson,Fr.,G,5-9,"Rockford, MI",Rockford,Central Mich.,560673
4,0,13,Allison LaPoint,Jr.,F,5-10,"Royal Oak, MI",Shrine Catholic,Central Mich.,560673
2,0,25,Lauren Walker,So.,G,5-7,"Essexville, MI",Garber,Central Mich.,560673
2,0,30,Brylee Borgman,Fr.,G,5-9,"Norton Shores, MI",Mona Shores,Central Mich.,560673
19,0,4,Capria Brown,Jr.,G,5-9,"Danville, IL",Schlarman Academy,Central Mich.,560673
28,20,22,Nadège Jean,Sr.,F,6-2,"Richton Park, IL",Rich South,Central Mich.,560673
12,9,2,Tamara Ortiz,Fr.,G,5-4,"Columbus, OH",Westerville South,Central Mich.,560673
28,28,31,Rochelle Norris,Sr.,C,6-5,"Stafford, VA",New Hope Academy,Central Mich.,560673
13,0,3,Desrae Kyles,Fr.,C,6-5,"Benton Harbor, MI",Benton Harbor,Central Mich.,560673
25,8,8,Madisen Wardell,So.,F,6-0,"Detroit, MI",Edison,Central Mich.,560673
20,17,15,Jacia Cunningham,So.,G,5-8,"Milwaukee, WI",Milwaukee School of Languages,Chicago St.,560675
26,4,11,Princess Hester,So.,F,6-1,"Spring Hill, FL",Wachee High School,Chicago St.,560675
27,25,14,Josie Hill,So.,C,6-1,"Rapid City, SD",Central High School,Chicago St.,560675
23,1,31,Yzabelle Laualofa Tevao,Jr.,F,6-1,"South Auckland, New Zealand",Massey High School,Chicago St.,560675
13,6,10,Laura Segues,Sr.,F,5-10,"Castelloli, Spain",Institut Pere Vives Vich,Chicago St.,560675
27,12,12,Taylor Norris,Jr.,F,5-10,"Rochester, NY",Bishop Kearney,Chicago St.,560675
10,9,1,Ana Haklicka,Sr.,G,5-7,"Dubrovnik, Croatia",Touristic and Catering School,Chicago St.,560675
26,21,30,Evangelina Parrish,Jr.,F,6-0,"Ypsilanti, MI",,Chicago St.,560675
26,6,32,Claire Simmons,Jr.,G,5-10,"Louisville, KY",,Chicago St.,560675
21,2,40,ZiKeyah Carter,Jr.,C,6-6,"Waverly Hall, GA",,Chicago St.,560675
10,7,5,Hailey Hohenecker,Jr.,G,5-3,"Plymouth, MN",Providence Academy,Chicago St.,560675
27,25,2,Tae'lor Willard,Sr.,G,5-6,"Arlington, VA",Woodbridge Senior High School,Chicago St.,560675
0,0,33,Daysha Reid,Sr.,F,6-0,"Frederick, MD",Governor Thomas Johnson,Chicago St.,560675
29,23,34,A'riel Jackson,So.,G,5-9,"Brooklyn, NY",Bishop Loughlin Memorial,Cincinnati,560677
21,0,42,Clarissa Craig,Jr.,C,6-3,"Cincinnati, OH",Roger Bacon,Cincinnati,560677
31,16,5,Braylyn Milton,Jr.,G,5-11,"Charlotte, NC",Independence,Cincinnati,560677
32,9,11,Ta'Ziah Jenks,Sr.,F,6-0,"Louisville, KY",Mercy Academy,Cincinnati,560677
32,32,20,Jillian Hayes,Sr.,F,6-1,"Cincinnati, OH",Loveland,Cincinnati,560677
32,31,22,Malea Williams,Sr.,F,6-4,"Georgetown, KY",Scott County,Cincinnati,560677
17,0,33,Delaney Snyder,Fr.,C,6-5,"Richmond, VA",TPLS Christian Academy,Cincinnati,560677
31,1,6,Aïcha Dia,So.,G,6-0,"Montreal, Canada",Dawson College,Cincinnati,560677
32,0,10,Brianna Byars,Fr.,F,5-11,"Paris, KY",George Rogers Clark,Cincinnati,560677
0,0,14,Ramiyah Byrd,Fr.,F,5-11,"Colorado Springs, CO",Spire Institute and Academy,Cincinnati,560677
7,5,23,Mya Jackson,Sr.,G,5-7,"Wilmington, OH",Wilmington,Cincinnati,560677
25,17,32,Destiny Thomas,So.,C,6-4,"Jonesboro, AR",Jonesboro High School,Cincinnati,560677
32,26,3,Reagan Jackson,Fr.,G,5-8,"Kennedale, TX",Kennedale,Cincinnati,560677
19,0,7,Abby Holtman,Fr.,G,5-10,"Florence, KY",Ryle,Cincinnati,560677
29,0,1,Nia Clark,Sr.,G,5-9,"Indianapolis, IN",Ben Davis,Cincinnati,560677
31,28,3,MaKayla Elmore,Jr.,F,6-3,"Fostoria, OH",,Clemson,560679
30,8,30,Madi Ott,Jr.,G,5-10,"Frisco, TX",,Clemson,560679
28,3,21,Eno Inyang,Jr.,C,6-3,"St. Cloud, FL",,Clemson,560679
31,29,22,Ruby Whitehorn,So.,G,5-11,"Detroit, MI",Detroit Edison Public School Academy,Clemson,560679
31,31,1,Dayshanette Harris,Sr.,G,5-7,"Youngstown, OH",Ursuline,Clemson,560679
23,10,0,Mackenzie Kramer,Sr.,G,5-9,"Saint Michael, MN",,Clemson,560679
7,0,13,Bella Ranallo,Fr.,G,5-6,"Lake Forest, IL",,Clemson,560679
31,31,5,Amari Robinson,Sr.,F,6-0,"Douglasville, GA",,Clemson,560679
31,0,2,Nya Valentine,Jr.,G,5-3,"Mobile, AL",,Clemson,560679
0,0,23,Danna Grenald,Jr.,F,6-2,"Tegucigalpa, Honduras",,Clemson,560679
13,13,11,Maddi Cluse,Jr.,G,5-10,"Northfield, OH",Nordonia,Clemson,560679
29,0,34,Amani Freeman,Sr.,F,6-2,"Avon, IN",Avon,Clemson,560679
7,0,10,Kylee Kellermann,Fr.,G,5-6,"Charleston, SC",,Clemson,560679
23,2,33,Danielle Rauch,Sr.,G,5-8,"Syracuse, NY",Bishop Ludden,Clemson,560679
35,35,10,Jordana Reisma,So.,F,6-3,"Brown Deer, WI",,Cleveland St.,560681
35,34,12,Sara Guerreiro,Sr.,G,5-8,"Seixal, Portugal",,Cleveland St.,560681
32,0,3,Shadiya Thomas,Sr.,G,5-8,"Cypress, TX",,Cleveland St.,560681
6,6,2,Destiny Leo,Sr.,G,5-10,"Willowick, OH",,Cleveland St.,560681
35,0,22,Faith Burch,Jr.,F,6-1,"Warren, OH",,Cleveland St.,560681
35,29,0,Mickayla Perdue,Sr.,G,5-6,"Springfield, OH",Springfield High School,Cleveland St.,560681
26,0,24,Paulina Hernandez,Fr.,F,6-2,"Oak Creek, WI",Oak Creek,Cleveland St.,560681
35,35,13,Carmen Villalobos,Sr.,G,6-1,"Cadiz, Spain",Segle XXI,Cleveland St.,560681
25,0,5,Kali Howard,Jr.,F,5-11,"Zachary, LA",,Cleveland St.,560681
23,0,14,Filippa Goula,Sr.,G,5-6,"Ano Liosia, Greece",2nd High School of Ano Liosia,Cleveland St.,560681
35,1,4,Grace Ellis,Sr.,F,6-0,"Brisbane, Australia",,Cleveland St.,560681
35,35,11,Colbi Maples,Jr.,G,5-8,"Earle, AR",,Cleveland St.,560681
35,0,1,Brooklyn Fort-Davis,Sr.,F,6-0,"Chicago, IL",Whitney Young HS,Cleveland St.,560681
33,20,3,Anaya Barney,So.,G,5-11,"Cedar Falls, IA",Cedar Falls HS,Coastal Carolina,560684
33,31,4,Arin Freeman,Jr.,G,5-7,"Little Rock, AR",North Little Rock HS,Coastal Carolina,560684
29,1,31,Arielle-Vandrelle Belinga,Jr.,F,6-3,"Riverdale, GA",Sandy Creek HS,Coastal Carolina,560684
1,0,2,Kendahl Spearman,Fr.,G,5-7,"Greenwood, SC",Legacy Charter Early College,Coastal Carolina,560684
1,0,7,Darby Grigg,Fr.,G,5-7,"Rock Hill, SC",Northwestern High School,Coastal Carolina,560684
33,27,32,Alancia Ramsey,Fr.,F,6-0,"Fort Lauderdale, FL",St. Thomas Aquinas High School,Coastal Carolina,560684
26,7,0,Tiara Abron,Jr.,G,5-8,"Senatobia, MS",Senatobia High School,Coastal Carolina,560684
25,8,23,Zaria Hurston,Fr.,F,5-10,"Decatur, GA",Norcross,Coastal Carolina,560684
33,12,10,Dalanna Carter,Fr.,G,5-6,"Beach City, TX",Barbers Hill High School,Coastal Carolina,560684
33,32,21,Makaila Cange,Sr.,F,5-11,"Douglasville, GA",New Manchester HS,Coastal Carolina,560684
29,15,5,Deaja Richardson,Sr.,G,5-9,"Kernersville, NC",Tennessee State,Coastal Carolina,560684
33,12,20,Riley Stack,Fr.,C,6-4,"Piedmont, SC",Wren High School,Coastal Carolina,560684
0,0,1,Jaylen Ponder,Jr.,F,5-11,"Pompano Beach, FL",Blanche Ely High School,Coastal Carolina,560684
0,0,33,Maelyn McNealy,Fr.,G,5-8,"Knoxville, TN",Farragut,Coastal Carolina,560684
0,0,21,Lara Cook,So.,G,5-10,"St. Catharines, Canada",King's Christian Collegiate,Colgate,560686
34,33,4,Madison Schiller,So.,G,5-8,"Wyckoff, NJ",Ramapo,Colgate,560686
34,0,2,Christina Midgette,So.,G,6-0,"Princeton Jct, NJ",Franklin,Colgate,560686
22,0,23,Chidinma Okafor,So.,F,6-4,"Santa Clarita, CA",Canyon,Colgate,560686
34,34,13,Sophia Diehl,Jr.,F,6-1,"Westminster, MD",Roland Park County School,Colgate,560686
33,32,5,Taylor Golembiewski,Jr.,G,5-8,"Columbia, CT",Edwin O. Smith,Colgate,560686
0,0,22,Morgan Frank,Sr.,G,5-11,"Mundelein, IL",Mundelein,Colgate,560686
34,34,11,Tiasia McMillan,Sr.,F,6-0,"Seffner, FL",Carrollwood Day School,Colgate,560686
19,2,1,Morgan McMahon,Jr.,G,5-10,"Hagerstown, MD",Saint James School,Colgate,560686
27,1,41,Abbey Ferguson,So.,G,5-11,"Holmdel, NJ",Holmdel,Colgate,560686
0,0,44,Grace Klag,So.,F,6-2,"Westfield, NJ",Westfield,Colgate,560686
19,0,0,Amarah Streiff,Fr.,F,5-10,"Syracuse, NY",Bishop Ludden,Colgate,560686
32,1,25,Ella Meabon,Fr.,G,5-8,"Fairport, NY",Fairport,Colgate,560686
33,33,3,Alexa Brodie,Sr.,G,5-6,"Chalfont, PA",Central Bucks South,Colgate,560686
0,0,35,Maryan Eniafe,Fr.,F,6-2,"Upper Marlboro, MD",Maret,Colgate,560686
24,0,5,Jadyn Fife,Fr.,F,6-0,"N Richland Hills, TX",Liberty Christian School,Colorado St.,560688
29,11,14,Marta Leimane,So.,G,6-0,"Ventspils, Latvia",,Colorado St.,560688
0,0,10,Joseana Vaz,Sr.,F,6-0,"Praia, Cabo Verde",,Colorado St.,560688
5,0,21,Taylor Ray,Fr.,G,6-0,"Highlands Ranch, CO",Highlands Ranch,Colorado St.,560688
29,12,32,Cailyn Crocker,Sr.,G,5-9,"Cypress, CA",Mater Dei,Colorado St.,560688
29,29,30,Hannah Ronsiek,So.,G,5-11,"Sioux Falls, SD",O'Gorman,Colorado St.,560688
26,6,22,Cali Clark,Sr.,F,6-3,"Centennial, CO",Cherry Creek,Colorado St.,560688
31,26,20,Sanna Strom,Jr.,G,6-0,"Luleå, Sweden",Rig Lulea,Colorado St.,560688
31,13,0,Kendyll Kinzer,Sr.,F,6-1,"Lewiston, ID",Lewiston,Colorado St.,560688
31,27,24,Sydney Mech,Sr.,F,6-2,"Englewood, CO",Cherry Creek,Colorado St.,560688
31,31,4,McKenna Hofschild,Sr.,G,5-2,"Prior Lake, MN",Prior Lake,Colorado St.,560688
28,0,55,Meghan Boyd,Sr.,G,5-11,"Eagle, ID",Eagle,Colorado St.,560688
18,0,11,Jackie Carman,Sr.,G,5-8,"Twinsburg, OH",Hathaway Brown,Colorado St.,560688
0,0,3,Avree Antony,Fr.,G,5-10,"Sun Prairie, WI",Sun Prairie,Colorado St.,560688
0,0,12,Ann Zachariah,So.,F,6-2,"Kerala, India",Kansas State Life Prep,Colorado St.,560688
34,34,21,Aaronette Vonleh,Jr.,F,6-3,"West Linn, OR",West Linn High School,Colorado,560690
34,10,2,Tameiya Sadler,Sr.,G,5-8,"Vallejo, CA",St. Patrick-St. Vincent H.S.,Colorado,560690
28,0,25,Brianna McLeod,So.,F,6-3,"Brampton, Canada",Kings Christian,Colorado,560690
34,34,3,Frida Formann,Sr.,G,5-10,"Bagsvrd, Denmark",Falkonergrdens Gymnasium,Colorado,560690
10,0,31,Sophie Gerber,Jr.,G,6-0,"Scottsdale, AZ",Desert Mountain H.S.,Colorado,560690
34,2,15,Kindyll Wetta,Jr.,G,5-9,"Castle Rock, CO",Valor Christian,Colorado,560690
15,0,23,Mikayla Johnson,Fr.,G,6-1,"Anchorage, AK",Bartlett,Colorado,560690
0,0,5,Kennedy Sanders,Fr.,G,5-8,"Chaska, MN",Chaska,Colorado,560690
34,34,0,Jaylyn Sherrod,Sr.,G,5-7,"Birmingham, AK",Ramsay H.S.,Colorado,560690
33,0,45,Charlotte Whittaker,Sr.,C,6-4,"Cust, New Zealand",St. Andrews College,Colorado,560690
0,0,32,Ruthie Loomis-Goltl,Fr.,F,6-3,"Bridgeport, NE",Bridgeport,Colorado,560690
34,34,11,Quay Miller,Sr.,C,6-3,"Renton, WA",Kentridge H.S.,Colorado,560690
30,0,4,Sara-Rose Smith,Sr.,G,6-1,"Victoria, Australia",Basketball Australia Centre of Excellence,Colorado,560690
14,0,1,Jadyn Atchison,Fr.,G,6-1,"Cedar Hill, TX",Cedar Hill,Colorado,560690
0,0,13,Lele Tanuvasa,Fr.,G,6-0,"Eureka, CA",St. Mary's Stockton,Colorado,560690
34,22,24,Maddie Nolan,Sr.,G,5-11,"Zionsville, IN",Zionsville,Colorado,560690
5,0,22,Shelomi Sanders,Fr.,G,5-6,"Rockwall, TX",Rockwall Heath High School,Colorado,560690
15,5,33,Noa Comesaña,Jr.,C,6-1,"Vigo, Spain",I.E.S. de Beade,Columbia,560692
8,0,11,Mary Lobon,Sr.,F,6-1,"Valencia, Spain",Caxton College,Columbia,560692
30,1,21,Nicole Stephens,Sr.,G,5-7,"Pickerington, OH",Pickerington Central,Columbia,560692
30,30,10,Kitty Henderson,Jr.,G,5-10,"North Curl Curl, Australia",St. Luke's Grammar,Columbia,560692
30,30,35,Abbey Hsu,Sr.,G,5-11,"Parkland, FL",Marjory Stoneman Douglas / St. Thomas Aquinas HS,Columbia,560692
24,0,34,Paige Lauder,Sr.,F,6-1,"Malvern, PA",Villa Maria Academy,Columbia,560692
29,14,0,Susie Rafiu,So.,F,6-1,"Ipswich, United Kingdom",Copleston,Columbia,560692
28,11,1,Perri Page,So.,G,5-11,"Pittsburgh, PA",Chartiers Valley,Columbia,560692
5,0,2,Ava Sciolla,So.,G,6-0,"Fairless Hills, PA",Pennsbury,Columbia,560692
30,27,4,Fliss Henderson,Fr.,G,5-11,"North Curl Curl, Australia",St. Luke's Grammar,Columbia,560692
10,0,22,Habti Calvo,Fr.,G,5-9,"Madrid, Spain",Humanitas Bilingual School,Columbia,560692
30,2,24,Riley Weiss,Fr.,G,5-10,"Hewlett, NY",GW Hewlett (N.Y.) / North Broward Prep (Fla.),Columbia,560692
10,0,42,Blau Tor,Fr.,F,6-0,"Barcelona, Spain",INS Joaquim Blume,Columbia,560692
30,30,3,Cecelia Collins,Jr.,G,6-0,"Scranton, PA",Scranton Prep,Columbia,560692
0,0,30,Emiy Montes,Fr.,G,5-10,"Miami, FL",Palmer Trinity,Columbia,560692
28,0,21,Ines Bettencourt,So.,G,5-9,"Sao Miguel, Portugal",,UConn,560694
0,0,34,Ayanna Patterson,So.,F,6-2,"Fort Wayne, IN",Homestead HS,UConn,560694
39,3,25,Ice Brady,So.,F,6-3,"San Diego, CA",Cathedral Catholic HS,UConn,560694
0,0,24,Jana El Alfy,Fr.,C,6-4,"Cairo, Egypt",,UConn,560694
39,39,10,Nika Muhl,Sr.,G,5-10,"Zagreb, Croatia",,UConn,560694
39,39,5,Paige Bueckers,Sr.,G,6-0,"Hopkins, MN",Hopkins HS,UConn,560694
2,2,35,Azzi Fudd,Jr.,G,5-11,"Arlington, VA",St. John's College HS,UConn,560694
4,4,33,Caroline Ducharme,Jr.,G,6-2,"Milton, MA",Noble & Greenough School,UConn,560694
23,0,42,Amari DeBerry,Jr.,F,6-5,"Williamsville, NY",,UConn,560694
37,37,3,Aaliyah Edwards,Sr.,F,6-3,"Kingston, Canada",,UConn,560694
14,5,44,Aubrey Griffin,Sr.,G,6-1,"Ossining, NY",Ossining HS,UConn,560694
38,33,12,Ashlynn Shade,Fr.,G,5-10,"Noblesville, IN",La Lumiere,UConn,560694
36,0,4,Qadence Samuels,Fr.,G,6-0,"Forestville, MD",Bishop McNamara HS,UConn,560694
39,33,2,KK Arnold,Fr.,G,5-9,"Germantown, WI",Germantown HS,UConn,560694
20,2,15,Charia Roberts,Sr.,F,6-0,"Pikesville, MD",Pikesville,Coppin St.,560697
24,3,23,Khya Jenkins,Jr.,F,6-0,"Deer Park, NY",Millbrook School,Coppin St.,560697
28,28,1,Mossi Staples,Sr.,G,5-7,"Fort Washington, MD",Oxon Hill HS,Coppin St.,560697
10,10,21,Colleen Bucknor,Jr.,F,5-11,"Miami, FL",Miami HS,Coppin St.,560697
30,16,5,Tyler Gray,Jr.,G,5-6,"Bladensburg, MD",Elizabeth Seton HS,Coppin St.,560697
30,21,2,Tiffany Hammond,Jr.,G,5-9,"Trenton, NJ",Life Center Academy,Coppin St.,560697
26,23,11,Angel Jones,So.,G,5-4,"Woodbridge, VA",Forest Park,Coppin St.,560697
27,16,12,Faith Blackstone,Jr.,G,6-0,"Harrisburg, PA",Hillside HS (Syracuse),Coppin St.,560697
30,29,31,Laila Lawrence,Jr.,F,6-2,"Lewisville, TX",Lewisville HS,Coppin St.,560697
10,0,3,Madyson Burney,Fr.,G,5-7,"Orlando, FL",East River,Coppin St.,560697
20,2,20,Niyah Gaston,Fr.,G,5-10,"Suffolk, VA",King's Fork HS,Coppin St.,560697
24,0,25,Cassandra Hawthorne,Jr.,G,5-11,"Hartford, CT",Loomis Chaffee HS,Coppin St.,560697
13,0,4,Sarah Hathorn,So.,G,5-4,"College Station, TX",A&M Consolidated HS,Cornell,560698
25,3,3,Vivienne Knee,So.,G,5-9,"New York, NY",Lycee Francais de New York,Cornell,560698
26,26,31,Emily Pape,So.,F,6-1,"Park Ridge, IL",Maine South HS,Cornell,560698
0,0,11,Arianna Linoxilakis,Jr.,F,6-1,"Weston, MA",Weston HS,Cornell,560698
11,1,2,Val Garcia-Martinez,Sr.,G,5-8,"Mcallen, TX",McAllen Memorial HS,Cornell,560698
13,0,25,Lexi Green,Jr.,G,5-9,"Pittsford, NY",Pittsford Mendon HS,Cornell,560698
26,26,24,Summer Parker-Hall,Jr.,F,5-11,"Chicago, IL",Loyola Academy,Cornell,560698
26,26,20,Kaya Ingram,Sr.,G,5-8,"Albuquerque, NM",La Cueva HS,Cornell,560698
5,0,13,Jada Davis,Jr.,F,6-2,"San Diego, CA",The Bishop's School,Cornell,560698
26,23,12,Mia Beam,Sr.,G,5-8,"Louisville, KY",Christian Academy of Louisville,Cornell,560698
24,0,15,Maya Watts,Fr.,C,6-1,"Hopewell Jct, NY",Arlington,Cornell,560698
1,0,23,Kameryn Perry,Fr.,G,5-10,"Middletown, CT",Choate Rosemary Hall,Cornell,560698
26,0,5,Rachel Kaus,Fr.,G,6-0,"Lake Bluff, IL",Lake Forest,Cornell,560698
26,0,22,Clarke Jackson,Fr.,G,5-9,"Columbus, OH",Gahanna Lincoln,Cornell,560698
26,25,10,Azareya Kilgoe,Fr.,G,5-4,"Seaford, DE",Sanford School,Cornell,560698
19,0,11,Kiani Lockett,So.,G,5-8,"Minneapolis, MN",Minnetonka HS,Creighton,560701
27,0,23,Brittany Harshaw,Fr.,G,6-1,"Andover, KS",Andover HS,Creighton,560701
1,0,4,Lexi Unruh,Fr.,G,6-1,"Sioux Falls, SD",Sioux Falls Christian HS,Creighton,560701
31,0,2,Kennedy Townsend,So.,G,5-10,"Kansas City, MO",Park Hill HS,Creighton,560701
30,0,12,Jayme Horan,Sr.,G,5-10,"Omaha, NE",Millard South HS,Creighton,560701
32,32,14,Mallory Brake,Sr.,F,6-0,"Hastings, MN",Hastings HS,Creighton,560701
32,32,15,Lauren Jensen,Sr.,G,5-10,"Lakeville, MN",Lakeville North HS,Creighton,560701
32,32,31,Emma Ronsiek,Sr.,F,6-1,"Sioux Falls, SD",O'Gorman HS,Creighton,560701
32,32,21,Molly Mogensen,Sr.,G,5-7,"Farmington, MN",Farmington HS,Creighton,560701
32,32,30,Morgan Maly,Sr.,G,6-1,"Crete, NE",Crete HS,Creighton,560701
20,0,32,McKayla Miller,Fr.,G,6-1,"Cimarron, KS",Cimarron,Creighton,560701
21,0,24,Leiya Stuart,Sr.,G,5-9,"East Stroudsburg, PA",St. George's,Dartmouth,560703
26,26,13,Clare Meyer,So.,F,6-3,"Philadelphia, PA",Germantown Friends School,Dartmouth,560703
25,4,3,Mekkena Boyd,Sr.,G,5-8,"Williston, VT",Champlain Valley Union,Dartmouth,560703
26,26,5,Mia Curtis,Sr.,G,5-9,"Minneapolis, MN",Minnehaha Academy,Dartmouth,560703
25,25,15,Victoria Page,Jr.,G,5-8,"Murfreesboro, TN",Blackman,Dartmouth,560703
22,6,12,Carrington Washburn,Sr.,G,6-0,"Brentwood, TN",Christ Presbyterian Academy,Dartmouth,560703
20,1,11,Camryn Foltz,Sr.,G,6-0,"Sea Bright, NJ",Colts Neck,Dartmouth,560703
17,16,14,Doreen Ariik,Jr.,F,6-4,"Nairobi, Kenya",Northfield Mount Hermon,Dartmouth,560703
13,0,10,Olivia Lawlor,So.,F,6-1,"Summit, NJ",Summit,Dartmouth,560703
5,0,20,Brooke Hollawell,So.,F,5-9,"Wall, NJ",Manasquan,Dartmouth,560703
26,0,4,Cate MacDonald,Fr.,F,6-1,"Lynnfield, MA",New Hampton,Dartmouth,560703
13,0,22,Sierra Carson,Fr.,G,5-8,"Norway, ME",Oxford Hills Comprehensive,Dartmouth,560703
6,0,21,Lucija Banovic,Fr.,F,6-0,"Zagreb, Croatia",Lucijan Vranjanin,Dartmouth,560703
26,26,1,Nina Minicozzi,Fr.,G,5-8,"Belmont, MA",The Rivers School,Dartmouth,560703
13,0,2,Meena Tate,Fr.,G,5-11,"Iowa City, IA",Iowa City West,Dartmouth,560703
26,26,10,Millie Prior,Jr.,F,6-2,"Dee Why, Australia",Lake Ginninderra College,Davidson,560706
0,0,11,Tomisin Adenupe,Jr.,F,6-3,"Marietta, GA",George Walton,Davidson,560706
26,26,1,Mallorie Haines,Jr.,G,5-10,"Sherrills Ford, NC",Davidson Day School,Davidson,560706
24,24,4,Issy Morgan,Jr.,G,5-10,"Sydney, Australia",Monte Sant' Angelo Mercy College,Davidson,560706
15,11,33,Elle Sutphin,Sr.,F,6-3,"Pilot Mountain, NC",East Surry,Davidson,560706
26,9,14,Maddie Plank,Jr.,G,5-11,"Briarcliff Manor, NY",Briarcliff High School,Davidson,560706
0,0,30,Sallie Schutz,Jr.,F,6-2,"Watkinsville, GA",Westminster Christian Academy,Davidson,560706
23,16,21,Charlise Dunn,So.,G,6-2,"Victoria, Australia",Lake Ginninderra,Davidson,560706
26,3,3,Katie Donovan,Fr.,G,5-11,"Queensland, Australia",Southport State,Davidson,560706
15,15,0,Suzi-Rose Deegan,Sr.,G,5-10,"Marmion, Australia",Sacred Heart College/Lake Ginninderra College,Davidson,560706
20,0,9,Chloe Oliver,Fr.,G,5-8,"Montreal, Canada",Cegep Champlain,Davidson,560706
12,0,15,Eliza Buerk,Fr.,F,6-3,"Portland, OR",Clackamas,Davidson,560706
13,0,22,Sylvie Jackson,Fr.,G,6-0,"Zion Crossroads, VA",Louisa County,Davidson,560706
1,0,22,Mallory Justis,Sr.,G,-,"Charlotte, NC",South Mecklenburg,Davidson,560706
